 language, time
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C,0.008
C++,0.008
C,0.008
C++,0.008
C++,0.008
C++,0.008
C,0.008
C,0.008
C,0.008
C++,0.008
C++,0.008
C,0.008
C,0.008
C,0.008
C,0.008
C,0.008
C++,0.008
C++,0.008
C,0.008
C++,0.008
C,0.008
C,0.008
C,0.008
C,0.008
C,0.008
C,0.008
C,0.008
C,0.008
C,0.008
C,0.008
C,0.008
C,0.008
C,0.008
C,0.008
C,0.008
C,0.008
C,0.008
C,0.008
C,0.008
C,0.008
C,0.008
C++,0.008
C,0.008
C++,0.008
C,0.008
C++,0.008
C,0.008
C++,0.008
C,0.008
C,0.008
C++,0.008
C,0.008
C++,0.008
C++,0.008
C,0.008
C,0.008
C,0.008
C++,0.008
C++,0.008
C,0.008
C,0.008
C++,0.008
C,0.008
C,0.008
C,0.008
C++,0.008
C,0.008
C,0.008
C,0.008
C,0.008
C++,0.008
C++,0.008
C,0.008
C,0.008
C,0.008
C,0.008
C++,0.008
C,0.008
C,0.008
C,0.008
C,0.008
C++,0.008
C++,0.008
C,0.008
C++,0.008
C++,0.008
C++,0.008
C,0.008
C,0.008
C++,0.008
C,0.008
C++,0.008
C,0.008
C,0.008
C++,0.008
C++,0.008
C++,0.008
C++,0.008
C,0.008
C,0.008
C++,0.008
C++,0.008
C,0.008
C,0.008
C,0.008
C++,0.008
C,0.008
C,0.008
C,0.008
C,0.008
C,0.008
C++,0.008
C,0.008
C++,0.008
C++,0.008
C,0.008
C,0.008
C++,0.008
C,0.008
C++,0.008
C,0.008
C,0.008
C,0.008
C++,0.008
C,0.008
C,0.008
C++,0.008
C,0.008
C,0.008
C,0.008
C++,0.008
C,0.008
C,0.008
C++,0.008
C,0.008
C,0.008
C,0.008
C,0.008
C,0.008
C++,0.008
C,0.008
C,0.008
C,0.008
C++,0.008
C++,0.008
C,0.008
C++,0.008
C++,0.008
C,0.008
C,0.008
C,0.008
C,0.008
C,0.008
C,0.008
C,0.008
C++,0.008
C,0.008
C,0.008
C,0.008
C,0.008
C++,0.008
C++,0.008
C,0.008
C,0.008
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C,0.012
C++,0.012
C,0.012
C++,0.012
C,0.012
C,0.012
C++,0.012
C,0.012
C++,0.012
C++,0.012
C,0.012
C,0.012
C++,0.012
C,0.012
C,0.012
C,0.012
C++,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C++,0.012
C,0.012
C,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C,0.012
C,0.012
C,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C++,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C++,0.012
C,0.012
C++,0.012
C,0.012
C++,0.012
C,0.012
C,0.012
C,0.012
C++,0.012
C,0.012
C,0.012
C,0.012
C++,0.012
C++,0.012
C,0.012
C++,0.012
C,0.012
C,0.012
C,0.012
C++,0.012
C++,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C++,0.012
C++,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C++,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C++,0.012
C++,0.012
C,0.012
C++,0.012
C,0.012
C++,0.012
C,0.012
C++,0.012
C++,0.012
C++,0.012
C,0.012
C,0.012
C++,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C++,0.012
C,0.012
C++,0.012
C,0.012
C,0.012
C,0.012
C++,0.012
C,0.012
C++,0.012
C++,0.012
C++,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C++,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C,0.012
C++,0.012
C,0.012
C,0.012
C,0.012
C++,0.012
C,0.012
C++,0.012
C++,0.012
C,0.012
C++,0.012
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C,0.016
C,0.016
C,0.016
C,0.016
C++,0.016
C++,0.016
C++,0.016
C,0.016
C++,0.016
C++,0.016
C++,0.016
C,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C++,0.016
C,0.016
C++,0.016
C,0.016
C,0.016
C,0.016
C++,0.016
C,0.016
C++,0.016
C,0.016
C,0.016
C,0.016
C,0.016
C++,0.016
C,0.016
C++,0.016
C,0.016
C,0.016
C,0.016
C,0.016
C++,0.016
C++,0.016
C,0.016
C,0.016
C++,0.016
C++,0.016
C,0.016
C,0.016
C++,0.016
C++,0.016
C++,0.016
C,0.016
C,0.016
C,0.016
C,0.016
C++,0.016
C++,0.016
C,0.016
C,0.016
C,0.016
C++,0.016
C++,0.016
C,0.016
C,0.016
C,0.016
C++,0.016
C,0.016
C++,0.020
C++,0.020
C++,0.020
C++,0.020
C++,0.020
C++,0.020
C++,0.020
C++,0.020
C++,0.020
C++,0.020
C++,0.020
C++,0.020
C++,0.020
C++,0.020
C++,0.020
C++,0.020
C++,0.020
C++,0.020
C++,0.020
C++,0.020
C++,0.020
C++,0.020
C++,0.020
C++,0.020
C++,0.020
C++,0.020
C++,0.020
C++,0.020
C++,0.020
C++,0.020
C,0.020
C,0.020
C,0.020
C,0.020
C,0.020
C++,0.020
C,0.020
C,0.020
C,0.020
C++,0.020
C++,0.020
C++,0.020
C++,0.020
C++,0.020
C++,0.020
C,0.020
C++,0.020
C++,0.020
C,0.020
C,0.020
C,0.020
C,0.020
C,0.020
C++,0.020
C++,0.020
C++,0.020
C,0.020
C,0.020
C,0.020
C,0.020
C++,0.020
C,0.020
C++,0.020
C++,0.020
C++,0.020
C++,0.020
C++,0.020
C,0.020
C++,0.020
C++,0.020
C++,0.020
C,0.020
C++,0.020
C++,0.020
C,0.020
C++,0.020
C++,0.020
C++,0.020
C++,0.020
C,0.020
C++,0.020
C++,0.020
C++,0.020
C++,0.024
C++,0.024
C++,0.024
C++,0.024
C++,0.024
C++,0.024
C++,0.024
C++,0.024
C++,0.024
C++,0.024
C++,0.024
C++,0.024
C++,0.024
C++,0.024
C++,0.024
C++,0.024
C++,0.024
C++,0.024
C++,0.024
C++,0.024
C++,0.024
C++,0.024
C,0.024
C,0.024
C,0.024
C,0.024
C,0.024
C,0.024
C,0.024
C,0.024
C,0.024
C,0.024
C,0.024
C,0.024
C,0.024
C,0.024
C++,0.024
C,0.024
C,0.024
C++,0.024
C++,0.024
C++,0.024
C++,0.024
C,0.024
C++,0.024
C,0.024
C++,0.024
C,0.024
C,0.024
C++,0.024
C,0.024
C++,0.024
C,0.024
C++,0.024
C,0.024
C,0.024
C,0.024
C,0.024
C,0.024
C++,0.028
C++,0.028
C++,0.028
C++,0.028
C++,0.028
C++,0.028
C++,0.028
C++,0.028
C++,0.028
C++,0.028
C,0.028
C,0.028
C,0.028
C,0.028
C,0.028
C++,0.028
C,0.028
C++,0.028
C++,0.028
C,0.028
C++,0.028
C,0.028
C++,0.028
C++,0.028
C++,0.028
C++,0.028
C,0.028
C++,0.028
C,0.028
C,0.028
C++,0.032
C++,0.032
C++,0.032
C++,0.032
C++,0.032
C++,0.032
C++,0.032
C++,0.032
C++,0.032
C++,0.032
C,0.032
C,0.032
C++,0.032
C++,0.032
C++,0.032
C,0.032
C++,0.032
C,0.032
C,0.032
C,0.032
C,0.032
C,0.032
C++,0.032
C++,0.032
C,0.032
C++,0.036
C++,0.036
C++,0.036
C++,0.036
C++,0.036
C++,0.036
C,0.036
C++,0.036
C++,0.040
C++,0.040
C++,0.040
C++,0.040
C++,0.040
C++,0.040
C++,0.040
C++,0.040
C,0.040
C++,0.040
C++,0.044
C++,0.044
C++,0.044
C++,0.044
C++,0.044
C++,0.044
C++,0.044
C,0.044
C,0.044
C++,0.044
C++,0.044
C++,0.044
C,0.044
C++,0.048
C++,0.048
C++,0.048
C,0.048
C++,0.048
C,0.048
C++,0.048
C++,0.052
C,0.052
Python,0.052
C++,0.052
C++,0.056
C++,0.056
Python,0.056
Python,0.056
C++,0.056
Python,0.056
Python,0.056
C++,0.060
C++,0.060
C++,0.060
Python,0.060
C++,0.060
Python,0.060
C++,0.060
C++,0.060
Python,0.060
C,0.060
C++,0.060
C++,0.064
Java,0.064
C++,0.064
C++,0.064
C++,0.064
Java,0.064
C,0.064
Python,0.064
Java,0.064
C++,0.068
C++,0.068
C++,0.068
C++,0.068
Python,0.068
Java,0.068
Python,0.068
C++,0.068
C++,0.068
C++,0.068
Python,0.068
C++,0.068
Python,0.068
Python,0.068
Python,0.068
C++,0.068
Java,0.072
C++,0.072
C++,0.072
Java,0.072
Python,0.072
C++,0.072
Python,0.072
Python,0.072
C++,0.072
Java,0.076
Java,0.076
C,0.076
C++,0.076
C++,0.076
C++,0.076
C++,0.076
Python,0.076
C,0.076
C++,0.080
Java,0.080
C++,0.080
C++,0.080
C++,0.080
C++,0.080
C++,0.080
C++,0.080
C++,0.080
Java,0.080
C++,0.080
C++,0.080
C++,0.080
C++,0.080
Java,0.080
Java,0.080
C++,0.080
Python,0.080
C++,0.080
C++,0.080
C++,0.080
C++,0.080
C++,0.080
C++,0.080
C++,0.080
Python,0.080
C++,0.080
C++,0.080
C++,0.084
C++,0.084
C++,0.084
C++,0.084
C++,0.084
C++,0.084
C++,0.084
C++,0.084
C++,0.084
C++,0.084
C++,0.084
C++,0.084
C++,0.084
C++,0.084
C++,0.084
C++,0.084
C++,0.084
C++,0.084
C++,0.084
C++,0.084
C++,0.084
C++,0.084
C++,0.084
C++,0.084
C++,0.084
C++,0.084
C++,0.084
Python,0.084
Python,0.084
C++,0.084
C++,0.084
C++,0.084
C++,0.084
C++,0.084
Python,0.084
C++,0.084
C++,0.084
C++,0.084
Python,0.084
C++,0.084
C++,0.084
C++,0.084
C++,0.084
C++,0.084
C++,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
Java,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
Java,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
Python,0.088
C++,0.088
C++,0.088
Python,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
C++,0.088
C,0.088
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
Java,0.092
C++,0.092
C++,0.092
C++,0.092
Java,0.092
C++,0.092
Java,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
Java,0.092
C++,0.092
C++,0.092
Java,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.092
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
Java,0.096
Java,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
Java,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
Java,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
Python,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.096
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
Java,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
Java,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
Java,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
Python,0.100
Java,0.100
C++,0.100
C++,0.100
C++,0.100
Java,0.100
Python,0.100
C++,0.100
C++,0.100
C++,0.100
Java,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
Python,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
C++,0.100
Python,0.100
C++,0.100
C++,0.100
C++,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.104
Java,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.104
Python,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.104
C++,0.108
C++,0.108
C++,0.108
C++,0.108
C++,0.108
C++,0.108
C++,0.108
C++,0.108
C++,0.108
C++,0.108
C++,0.108
C++,0.108
C++,0.108
C++,0.108
Python,0.108
C++,0.108
C++,0.108
C++,0.108
C++,0.108
C++,0.108
C++,0.108
C++,0.108
C++,0.108
C++,0.108
C++,0.108
C++,0.108
C++,0.108
Java,0.112
C++,0.112
C++,0.112
C++,0.112
C++,0.112
C++,0.112
C++,0.112
C++,0.112
C++,0.112
C++,0.112
C++,0.112
C++,0.112
C++,0.112
C++,0.112
Python,0.112
C++,0.112
C++,0.112
C++,0.112
C++,0.112
C++,0.112
C++,0.112
Java,0.112
Java,0.112
C++,0.112
C++,0.112
Python,0.112
Java,0.116
C++,0.116
C++,0.116
C++,0.116
C++,0.116
C++,0.116
C++,0.116
C++,0.116
C++,0.116
C++,0.116
C++,0.116
Java,0.116
C++,0.116
C++,0.116
C++,0.116
C++,0.116
C++,0.116
C++,0.116
C++,0.116
C++,0.116
C++,0.116
C++,0.116
C++,0.116
C++,0.116
C++,0.116
C++,0.116
C++,0.116
C++,0.116
C++,0.116
C++,0.116
C++,0.116
Python,0.116
C++,0.116
C++,0.116
C++,0.116
C++,0.116
Java,0.116
C++,0.116
C++,0.116
C++,0.120
C++,0.120
C++,0.120
Java,0.120
Java,0.120
C++,0.120
Python,0.120
C++,0.120
C++,0.120
C++,0.120
C++,0.120
C++,0.120
C++,0.120
C++,0.120
C++,0.120
C++,0.120
C++,0.120
C++,0.120
C++,0.120
C++,0.120
C++,0.120
C++,0.120
C++,0.120
C++,0.120
C++,0.120
C++,0.120
C++,0.120
C++,0.120
C++,0.124
C++,0.124
C++,0.124
C++,0.124
C++,0.124
C++,0.124
C++,0.124
Java,0.124
Python,0.124
C++,0.124
C++,0.124
C++,0.124
C++,0.124
C++,0.124
C++,0.124
C++,0.124
C++,0.124
C++,0.124
C++,0.124
C++,0.124
C++,0.124
C++,0.124
C++,0.124
C++,0.124
C++,0.124
C++,0.124
C++,0.124
C++,0.128
C++,0.128
C++,0.128
Java,0.128
C++,0.128
C++,0.128
C++,0.128
Python,0.128
C++,0.128
C++,0.128
C++,0.128
C++,0.128
C++,0.128
C++,0.128
C++,0.128
C++,0.128
C++,0.128
Java,0.132
C++,0.132
C++,0.132
C++,0.132
C++,0.132
C++,0.132
Python,0.132
C++,0.132
C++,0.132
C++,0.132
C++,0.132
C++,0.132
C++,0.132
C++,0.132
Java,0.132
C++,0.132
C++,0.132
C++,0.132
C++,0.136
C++,0.136
C++,0.136
C++,0.136
C++,0.136
C++,0.136
C++,0.136
C++,0.136
C++,0.136
C++,0.136
C++,0.136
C++,0.136
C++,0.136
C++,0.136
C++,0.136
C++,0.136
C++,0.136
C++,0.136
Python,0.136
C++,0.136
C++,0.136
C++,0.136
C++,0.136
C++,0.136
C++,0.136
C++,0.140
C++,0.140
C++,0.140
C++,0.140
C++,0.140
Java,0.140
C++,0.140
C++,0.140
C++,0.140
C++,0.140
C++,0.140
C++,0.140
C++,0.140
C++,0.140
Python,0.140
C++,0.140
C++,0.140
C++,0.140
Python,0.140
Python,0.140
Python,0.140
C++,0.140
C++,0.140
Java,0.140
Python,0.140
C++,0.140
C++,0.140
C++,0.144
Java,0.144
C++,0.144
C++,0.144
C++,0.144
C++,0.144
C++,0.144
C++,0.144
C++,0.144
C++,0.144
C++,0.144
C++,0.144
C++,0.144
C++,0.144
C++,0.144
C++,0.144
C++,0.144
Java,0.144
C++,0.144
C++,0.144
C++,0.144
C++,0.148
C++,0.148
C++,0.148
C++,0.148
C++,0.148
C++,0.148
C++,0.148
C++,0.148
Java,0.148
C++,0.148
C++,0.148
C++,0.148
C++,0.148
C++,0.148
C++,0.148
C++,0.148
C++,0.148
C++,0.148
C++,0.148
Java,0.148
C++,0.148
C++,0.148
C++,0.148
C++,0.148
C++,0.148
C++,0.152
C++,0.152
C++,0.152
C++,0.152
C++,0.152
C++,0.152
C++,0.152
C++,0.152
C++,0.152
C++,0.152
C++,0.152
C++,0.152
C++,0.152
C++,0.152
C++,0.152
C++,0.152
Java,0.152
C++,0.152
C++,0.152
C++,0.152
C++,0.152
C++,0.152
C++,0.152
C++,0.152
C++,0.152
C++,0.152
C++,0.152
C++,0.152
Ruby,0.152
Java,0.152
C++,0.152
C++,0.156
C++,0.156
C++,0.156
C++,0.156
C++,0.156
C++,0.156
C++,0.156
C++,0.156
C++,0.156
Python,0.156
C++,0.156
Python 3,0.156
Python,0.156
C++,0.156
C++,0.156
C++,0.156
C++,0.156
C++,0.156
C++,0.156
Java,0.160
C++,0.160
C++,0.160
C++,0.160
Java,0.160
C++,0.160
C++,0.160
C++,0.160
C++,0.160
C++,0.160
Java,0.160
C++,0.160
C++,0.160
C++,0.160
C++,0.160
C++,0.160
C++,0.160
Java,0.160
C++,0.160
Python,0.160
Java,0.160
Java,0.160
C++,0.160
C++,0.160
Python,0.160
C++,0.160
C++,0.160
C++,0.164
C++,0.164
C++,0.164
C++,0.164
C++,0.164
C++,0.164
C++,0.164
C++,0.164
C++,0.164
C++,0.164
C++,0.164
Java,0.164
C++,0.164
C++,0.164
C++,0.164
C++,0.164
C++,0.164
C++,0.164
C++,0.164
C++,0.164
C++,0.164
Java,0.164
C++,0.164
C++,0.164
Java,0.164
Java,0.164
C++,0.164
C++,0.164
C++,0.164
C++,0.164
C++,0.164
C++,0.164
C++,0.168
C++,0.168
C++,0.168
C++,0.168
C++,0.168
C++,0.168
C++,0.168
C++,0.168
C++,0.168
C++,0.168
C++,0.168
C++,0.168
C++,0.168
C++,0.168
C++,0.168
C++,0.168
Java,0.168
C++,0.168
C++,0.168
C++,0.168
C++,0.168
C++,0.168
C++,0.168
C++,0.168
C++,0.168
C++,0.168
C++,0.168
C++,0.168
C++,0.168
Java,0.168
C++,0.168
C++,0.168
C++,0.168
C++,0.168
C++,0.168
Java,0.168
C++,0.172
C++,0.172
C++,0.172
C++,0.172
C++,0.172
C++,0.172
C++,0.172
Java,0.172
C++,0.172
C++,0.172
Python,0.172
C++,0.172
Java,0.172
C++,0.172
C++,0.172
C++,0.172
C++,0.172
C++,0.172
C,0.172
C++,0.172
C++,0.172
Java,0.172
Java,0.172
C++,0.172
Java,0.172
C++,0.172
C++,0.172
Java,0.172
Java,0.172
